algorithm,arraySize,mode,avgMs,minMs,maxMs,runs,comparisons,interchanges
Selection Sort,20,Random,0.2525,0.1535,0.4244,10,190,15
Selection Sort,50,Random,0.4715,0.4338,0.5292,10,1225,44
Selection Sort,100,Random,2.5844,0.5961,11.9935,10,4950,93
Selection Sort,500,Random,2.4136,1.1683,7.8411,10,124750,491
Selection Sort,1000,Random,4.7308,2.4558,8.5312,10,499500,990
Selection Sort,5000,Random,70.1377,57.3547,101.3811,10,12497500,4991
Selection Sort,7500,Random,131.0387,123.4558,140.0403,10,28121250,7489
Selection Sort,10000,Random,229.0491,222.9894,235.3772,10,49995000,9989
Insertion Sort,20,Random,0.0114,0.0061,0.0267,10,108,91
Insertion Sort,50,Random,0.0384,0.0314,0.0526,10,626,580
Insertion Sort,100,Random,0.1411,0.1309,0.1554,10,2548,2453
Insertion Sort,500,Random,0.8726,0.7148,2.0112,10,63838,63344
Insertion Sort,1000,Random,3.484,2.4143,4.4669,10,250525,249530
Insertion Sort,5000,Random,60.1996,57.9702,70.0888,10,6245833,6240842
Insertion Sort,7500,Random,130.1486,126.6416,135.2333,10,14086901,14079410
Insertion Sort,10000,Random,235.0784,223.839,262.5318,10,25062919,25052930
Bubble Sort,20,Random,0.0136,0.0103,0.0167,10,180,88
Bubble Sort,50,Random,0.0668,0.0568,0.0769,10,1205,607
Bubble Sort,100,Random,0.2411,0.2205,0.2752,10,4853,2388
Bubble Sort,500,Random,1.6036,1.3698,2.2727,10,124201,61975
Bubble Sort,1000,Random,4.6518,4.1962,5.7759,10,498960,251231
Bubble Sort,5000,Random,108.0611,105.676,109.889,10,12495324,6231898
Bubble Sort,7500,Random,246.6653,241.8097,248.9192,10,28115607,13979996
Bubble Sort,10000,Random,449.4072,442.0914,457.8771,10,49989195,24971891
Merge Sort,20,Random,0.0328,0.0232,0.0759,10,60,88
Merge Sort,50,Random,0.0622,0.0585,0.0714,10,224,286
Merge Sort,100,Random,0.1258,0.0984,0.1988,10,543,672
Merge Sort,500,Random,0.1249,0.1098,0.2316,10,3854,4488
Merge Sort,1000,Random,0.2573,0.243,0.3045,10,8713,9976
Merge Sort,5000,Random,1.5643,1.4994,1.6049,10,55230,61808
Merge Sort,7500,Random,2.0968,1.7297,2.6016,10,87171,96808
Merge Sort,10000,Random,2.6802,2.3844,3.5661,10,120427,133616
Heap Sort,20,Random,0.012,0.0071,0.0359,10,112,67
Heap Sort,50,Random,0.0236,0.0086,0.0307,10,413,237
Heap Sort,100,Random,0.0192,0.0184,0.0219,10,1028,579
Heap Sort,500,Random,0.1253,0.1162,0.1678,10,7422,4035
Heap Sort,1000,Random,0.2823,0.2541,0.3439,10,16833,9057
Heap Sort,5000,Random,1.5775,1.3698,1.8345,10,107695,57103
Heap Sort,7500,Random,3.664,2.9204,4.8864,10,170187,89983
Heap Sort,10000,Random,4.6757,4.3275,5.0653,10,235370,124197
Quick Sort,20,Random,0.0172,0.0122,0.0447,10,67,39
Quick Sort,50,Random,0.0449,0.0369,0.0645,10,273,143
