algorithm,arraySize,mode,avgMs,minMs,maxMs,runs,comparisons,interchanges
Selection Sort,EXTRA_TINY,Random,0.2816,0.1762,0.3551,10,190,15
Selection Sort,TINY,Random,0.6758,0.4233,0.7864,10,1225,46
Selection Sort,EXTRA_SMALL,Random,2.8001,0.6254,12.5592,10,4950,94
Selection Sort,SMALL,Random,3.1602,1.0315,12.1821,10,124750,491
Selection Sort,MEDIUM,Random,6.0675,2.3852,8.9546,10,499500,992
Selection Sort,LARGE,Random,68.068,57.8683,87.9917,10,12497500,4992
Selection Sort,EXTRA_LARGE,Random,136.6349,131.1766,165.1262,10,28121250,7491
Selection Sort,HUGE,Random,233.0782,225.8544,260.1748,10,49995000,9989
Insertion Sort,EXTRA_TINY,Random,0.0101,0.005,0.0301,10,106,90
Insertion Sort,TINY,Random,0.0352,0.0293,0.0425,10,631,585
Insertion Sort,EXTRA_SMALL,Random,0.1358,0.1199,0.1514,10,2484,2388
Insertion Sort,SMALL,Random,1.3182,0.723,3.3641,10,62728,62236
Insertion Sort,MEDIUM,Random,2.5563,2.3559,2.8342,10,252698,251704
Insertion Sort,LARGE,Random,58.4031,56.1059,60.353,10,6243952,6238961
Insertion Sort,EXTRA_LARGE,Random,134.6751,130.5945,139.4283,10,14120191,14112699
Insertion Sort,HUGE,Random,235.0102,226.6819,252.3498,10,24980956,24970966
Bubble Sort,EXTRA_TINY,Random,0.0131,0.0093,0.0173,10,176,89
Bubble Sort,TINY,Random,0.0563,0.0519,0.0605,10,1180,560
Bubble Sort,EXTRA_SMALL,Random,0.2408,0.2249,0.3077,10,4897,2508
Bubble Sort,SMALL,Random,1.4398,1.2386,1.5227,10,124234,62008
Bubble Sort,MEDIUM,Random,4.8206,4.1049,7.0171,10,498038,250729
Bubble Sort,LARGE,Random,110.0271,108.4778,116.3407,10,12491839,6255883
Bubble Sort,EXTRA_LARGE,Random,250.8824,243.2048,278.176,10,28114846,13997028
Bubble Sort,HUGE,Random,456.7105,444.041,482.3215,10,49983747,24965778
Merge Sort,EXTRA_TINY,Random,0.0755,0.0268,0.4086,10,62,88
Merge Sort,TINY,Random,0.0701,0.0474,0.0986,10,223,286
Merge Sort,EXTRA_SMALL,Random,0.1142,0.1028,0.1372,10,539,672
Merge Sort,SMALL,Random,0.1963,0.1102,0.6869,10,3859,4488
Merge Sort,MEDIUM,Random,0.3166,0.2487,0.4591,10,8711,9976
Merge Sort,LARGE,Random,1.4519,1.2261,2.1074,10,55253,61808
Merge Sort,EXTRA_LARGE,Random,2.0064,1.7266,2.6194,10,87143,96808
Merge Sort,HUGE,Random,2.4661,2.3262,2.7772,10,120437,133616
Heap Sort,EXTRA_TINY,Random,0.0132,0.0096,0.0165,10,114,68
Heap Sort,TINY,Random,0.023,0.0112,0.036,10,412,237
Heap Sort,EXTRA_SMALL,Random,0.0282,0.0255,0.0304,10,1030,579
Heap Sort,SMALL,Random,0.1323,0.1144,0.1922,10,7434,4048
Heap Sort,MEDIUM,Random,0.2703,0.2545,0.315,10,16859,9082
Heap Sort,LARGE,Random,1.5048,1.365,1.7427,10,107685,57106
Heap Sort,EXTRA_LARGE,Random,2.7637,2.1312,3.7709,10,170167,89960
Heap Sort,HUGE,Random,3.2504,2.6871,4.8549,10,235382,124205
Quick Sort,EXTRA_TINY,Random,0.0248,0.0164,0.0489,10,79,37
Quick Sort,TINY,Random,0.0426,0.0364,0.0617,10,255,140
Quick Sort,EXTRA_SMALL,Random,0.0491,0.0256,0.0813,10,647,327
Quick Sort,SMALL,Random,0.0971,0.081,0.1309,10,4778,2457
Quick Sort,MEDIUM,Random,0.2045,0.1794,0.2899,10,10746,5638
Quick Sort,LARGE,Random,1.5794,1.0762,1.9289,10,72484,35360
Quick Sort,EXTRA_LARGE,Random,1.945,1.4141,2.3016,10,113588,58229
Quick Sort,HUGE,Random,2.0652,1.7859,2.9083,10,157623,77589
